,Person
164,"રામસ્વામી ઐયર વેંકટરમણ
"
165,"કાશ્મિરા શાહ
"
166,"મોહસિન ખાન
"
167,"બિંદુ દેસાઈ
"
168,"વસીમ અક્રમ
"
169,"મહેશ ભટ્ટ
"
170,"વિષ્ણુ વર્ધન
"
171,"રામસ્વામી ઐયર વેંકટરમણ
"
172,"કસ્તુરભાઈ લાલભાઈ
"
173,"અટલ બિહારી વાજપેયી
"
174,"ઇન્દુલાલ ગાંધી
"
175,"ગુલ્શન ગ્રોવર
"
176,"ભૂપેન ખખ્ખર
"
177,"શમશેર જંગ બહાદુર રાણા
"
178,"વિજયા મહેતા
"
179,"પાયલ રહતોગિ
"
180,"અપરા મહેતા
"
181,"કરસનભાઈ પટેલ
"
182,"વિનોદ રાઠોડ
"
183,"ફિરોઝ ઇરાની
"
184,"અતુલ ડોડિયા
"
185,"ઇસ્માઈલ દરબાર
"
186,"ગૌતમ અડાણી
"
187,"મુરલી મનોહર જોશી
"
188,"કમલેશ ઓઝા
"
189,"પુરુશોત્તમ દાસ ટંડન
"
190,"દીપિકા પાદુકોણ
"
191,"નિલિમા શેખ
"
192,"જાવેદ જાફ્રી
"
193,"રવિ શાસ્ત્રી
"
194,"સૂર્ય બહાદુર થાપા
"
195,"અભિનવ બિન્દ્રા
"
196,"ચૌધરી સુજાત હુસૈન
"
197,"ઇમરાન ખાન
"
198,"અરુણ ગોહિલ
"
199,"વસુંધરા રાજે સિંધિયા
"
200,"રમીઝ રાજા
"
201,"જૅકી શ્રૉફ
"
202,"હસમુખ બારાડી
"
203,"મુકેશ અંબાણી
"
204,"આલેક મહેતા
"
205,"મનોજ કુમાર
"
206,"દીના પાઠક
"
207,"પન્નાલાલ પટેલ
"
208,"ઇન્દુલાલ ગાંધી
"
209,"ગ્યાની ઝૈલ સિંઘ
"
210,"સિદ્ધાર્થ રાંદેરિયા
"
211,"એન.ટી. રામારાવ
"
212,"ફખરુદ્દિન અલી અહેમદ
"
213,"દિવાળીબેન ભીલ
"
214,"અબ્દુલ કાદિર
"
215,"પી. ખસરાણી
"
216,"બ્રૂસ લી
"
217,"વેંકૈયા નાયડૂ
"
218,"કરણ બિલિમોરીયા
"
219,"વેંકટેશ પ્રસાદ
"
220,"મેઘનાદ દેસાઈ
"
221,"ઉદય કોટક
"
222,"સુર્જીત સિંઘ બરનાલા
"
223,"ધ્રૂવ મિસ્ત્રી
"
224,"મહેશ ભટ્ટ
"
225,"મિથુન ચક્રવર્તી
"
226,"વેંકટેશ પ્રસાદ
"
227,"મહાદેવ દેસાઈ
"
228,"રામ ગોપાલ વર્મા
"
229,"આશિષ આનંદ કપૂર
"
230,"સુનીતા વિલિયમ્સ
"
231,"નિહારી જોશી
"
232,"મુકેશ અંબાણી
"
233,"દાનિશ કનેરિયા
"
234,"નરેન્દ્ર મોદી
"
235,"ગોવર્ધન પંચાલ
"
236,"વીર સંઘવી
"
237,"અનંગ દેસાઇ
"
238,"કેતકી દવે
"
239,"ચંકી પાન્ડે
"
240,"દેવ આનંદ
"
241,"એન્ડી ફ્લાવર
"
242,"અનિલ કુમ્બલે
"
243,"સમીર ખખ્ખર
"
244,"ટીના મુનિમ
"
245,"વિઠ્ઠલભાઈ પટેલ
"
246,"મૌલી દવે
"
247,"સંજય દત્ત
"
248,"સનથ જયસૂર્યા
"
249,"ઇન્દર કુમાર ગુજરાલ
"
250,"આકાશ ગુજરાતી
"
251,"લતેશ શાહ
"
252,"ઉર્મિલા ભટ્ટ
"
253,"પાર્થિવ પટેલ
"
254,"હરભજન સિંઘ
"
255,"બસપ્પા ડનપ્પા જત્તી
"
256,"અમર ગુપ્તા
"
257,"અમીશા પટેલ
"
258,"જૉર્જ ફર્નાંડિસ
"
259,"ઉદય કોટક
"
260,"રામ ગોપાલ વર્મા
"
261,"આઘા મોહમ્મદ યાહ્યા ખાન
"
262,"રાજદીપ સરદેસાઈ
"
263,"લીઓનાર્ડો ડી કેપ્રિયો
"
264,"અશોક કુમાર મલ્હોત્રા
"
265,"પ્રિયા બદલાની
"
266,"ગૌતમ અડાણી
"
267,"એલન ડોનાલ્ડ
"
268,"મનમોહન દેસાઈ
"
269,"મોહનદાસ કરમચંદ ગાંધી
"
270,"ફિરોઝ ઇરાની
"
271,"મહેશ ભૂપતી
"
272,"હરભજન સિંઘ
"
273,"એ. એલ. કાલીચરણ
"
274,"અર્વિંદ ત્રિવેદી
"
275,"સચિન તેંડુલકર
"
276,"મનમોહન સિંઘ
"
277,"રણધીર કપૂર
"
278,"સિદ્દાવનાલી નિજાલિંગપ્પા
"
279,"કે. શ્રીકાન્ત
"
280,"જ્યોતિ ભટ્ટ
"
281,"બેન કિંગ્સલી
"
282,"પ્રેમાનંદ
"
283,"ટીનુ આનંદ
"
284,"જિતેન્દ્ર
"
285,"સંજય દત્ત
"
286,"વિષ્ણુ સખારામ ખાન્ડેકર
"
287,"રિચર્ડ હેડલી
"
288,"જૅક કોલિસ
"
289,"આઘા મોહમ્મદ યાહ્યા ખાન
"
290,"દીપિકા ચિખલિયા
"
291,"હજારી પ્રસાદ દ્વિવેદી
"
292,"માર્ગરેટ થેચર
"
293,"વિધુ વિનોદ ચોપરા
"
294,"ચુનીલાલ આશારામ ભાવસાર
"
295,"ઇમરાન ખાન
"
296,"વસુંધરા રાજે સિંધિયા
"
297,"અરુણા ઇરાની
"
298,"સાનિયા મિર્ઝા
"
299,"આલ્બર્ટ ગિલક્રિસ્ટ
"
300,"સક્લેન મુશ્તાક
"
301,"એ.પી.જે. અબ્દુલ કલામ
"
302,"મોહિંદર અમરનાથ
"
303,"સતીશ શાહ
"
304,"સિદ્દાવનાલી નિજાલિંગપ્પા
"
305,"કુમાર ગૌરવ
"
306,"હોમી વાડિયા
"
307,"ચંકી પાન્ડે
"
308,"ચુનીલાલ મડિયા
"
309,"મૌલી દવે
"
310,"પંડિત શિવ કુમાર શર્મા
"
311,"હોમી ભાભા
"
312,"કરિશ્મા કપૂર
"
313,"પરવેઝ મુશર્રફ
"
314,"શેખ મુજીબુર રહેમાન
"
315,"નગેશ્વર નારાયણ રાવ
"
316,"કૈલાશ પંડ્યા
"
317,"મુકેશ ભટ્ટ
"
318,"રાજેશ ખન્ના
"
319,"હ્રિશીતા ભટ્ટ
"
320,"અઝિમ પ્રેમજી
"
321,"સુનીલ ગાવસ્કર
"
322,"સૂર્ય બહાદુર થાપા
"
323,"ચમિંડા વાસ
"
324,"સુજાતા મહેતા
"
325,"સુહાસી ગોરડિયા
"
326,"રોનાલ્ડ રેગન
"
327,"ઉદય કોટક
"
328,"દુર્ગેશ શુકલા
"
329,"ગ્રાહમ ગૂચ
"
330,"વેંકટપતિ રાજૂ
"
331,"ગ્રાહમ ગૂચ
"
332,"કરિશ્મા કપૂર
"
333,"આર. ડબલ્યૂ. એંડરસન
"
334,"ઈશા શરવાની
"
335,"સંજય દત્ત
"
336,"દીપિકા ચિખલિયા
"
337,"ગ્યાનેન્દ્રબીર બિક્રમ સિંઘ
"
338,"ફિરોઝ ઇરાની
"
339,"વરાહગિરી વેંકટગિરી
"
340,"નગેશ્વર નારાયણ રાવ
"
341,"રણવીર કપૂર
"
342,"પરવીન બાબી
"
343,"એડમ પરોરે
"
344,"આરુશી અગ્રવાલ
"
345,"મનોજ કુમાર
"
346,"ફાલ્ગુની પાઠક
"
347,"ટીનુ આનંદ
"
348,"મોહમ્મદ અલી જિન્નાહ
"
349,"પ્રભુ દેવા
"
350,"કાદર ખાન
"
351,"અભિષેક બચ્ચન
"
352,"ટ્યુલિપ જોશી
"
353,"મનોહર જોશી
"
354,"સદગોપન રમેશ
"
355,"આનંદજી વીરજી
"
356,"યૂસુફ યોહાના
"
357,"કપિલ દેવ
"
358,"પ્રેમાનંદ
"
359,"કાકાસાહેબ કાલેલકર
"
360,"કે. શ્રીકાન્ત
"
361,"કવિ કલાપિ
"
362,"જૅકી શ્રૉફ
"
363,"જયંતિ પટેલ
"
364,"જય વસાવડા
"
365,"માઇકલ આથર્ટન
"
366,"આમિર સોહેલ ખાન
"
367,"તુલસી ગિરિ
"
368,"જે. ડી. મજેઠિયા
"
369,"વેંકટપતિ રાજૂ
"
370,"શત્રુઘ્ન સિંહા
"
371,"રોનાલ્ડ રેગન
"
372,"આર. ડબલ્યૂ. એંડરસન
"
373,"અપરા મહેતા
"
374,"રમેશ રાઘવ
"
375,"દેવ આનંદ
"
376,"કે. શ્રીકાન્ત
"
377,"સઆદત અલી મન્ટો
"
378,"અરુણ ગોહિલ
"
379,"લાલ બહાદુર શાસ્ત્રી
"
380,"ફિરોઝ ઇરાની
"
381,"રવિશંકર રાવળ
"
382,"અખો
"
383,"અમર ઉપાધ્યાય
"
