,Person
230,"ఈశ్వర్
"
231,"దైవసుందరం
"
232,"కమలాకరరావు
"
233,"అశోక
"
234,"దివ్యభాను
"
235,"కృష్ణకుమారి
"
236,"కేశవరావు
"
237,"ఏకలవ్య
"
238,"ఊహ
"
239,"దాక్షాయిని
"
240,"దేవదాసు
"
241,"చైతన్య
"
242,"ఇందిర
"
243,"దివాకరరావు
"
244,"ఏడుకొండలు
"
245,"అంకమ్మరావు
"
246,"గాంధారి
"
247,"గిరిధర్
"
248,"కేశవరావు
"
249,"దేవేంద్ర
"
250,"శ్రీ గణేష్
"
251,"అంజలి
"
252,"దాక్షాయిని
"
253,"ఉమాదేవి
"
254,"గంగోత్రి
"
255,"కృష్ణకుమారి
"
256,"దుర్గారావు
"
257,"కీరవాణి
"
258,"ఉమ
"
259,"కోటేశ్వరరావు
"
260,"ఏడుకొండలు
"
261,"గంగోత్రి
"
262,"జానకి
"
263,"కుటుంబరావు
"
264,"కోటయ్య
"
265,"ఊహ
"
266,"చక్రవర్తి
"
267,"దుర్గాభవాని
"
268,"ఉమాభారతి
"
269,"ఉమామహేశ్వరరావు
"
270,"ఈశ్వర్
"
271,"ఉమాదేవి
"
272,"కృష్ణకాంత్
"
273,"గంగాభవాని
"
274,"శ్రీనివాస్
"
275,"ఏడుకొండలు
"
276,"ఈశ్వర్
"
277,"అంకమ్మరావు
"
278,"ఇందుమతి
"
279,"ఏకలవ్య
"
280,"ఏడుకొండలు
"
281,"కమలాకరరావు
"
282,"ఉమాశంకర్
"
283,"ఆంజనేయులు
"
284,"కన్యాకుమారి
"
285,"ఆంజనేయులు
"
286,"ఇందిర
"
287,"కృష్ణప్రసాద్
"
288,"ఇందుమతి
"
289,"కోకిల
"
290,"కమలాకరరావు
"
291,"ఉమాశంకర్
"
292,"దీప్తి
"
293,"జానకి
"
294,"ఉషారాణి
"
295,"దైవసుందరం
"
296,"గంగోత్రి
"
297,"గీత
"
298,"దేవేంద్ర
"
299,"దీప్తి
"
300,"శ్రీ శ్రీ
"
301,"శ్రీనివాసరావు
"
302,"దుర్గ
"
303,"కోటేశ్వరరావు
"
304,"జయంతి
"
305,"చిత్ర
"
306,"దుర్గాప్రసాద్
"
307,"అశోక
"
308,"గీత
"
309,"ఉమ
"
310,"ధనంజయరావు
"
311,"దమయంతి
"
312,"కృష్ణకాంత్
"
313,"దుర్గారావు
"
314,"జానకిరామ్
"
315,"ధనంజయ్
"
316,"ఉషాదేవి
"
317,"ఈశ్వర్
"
318,"జయంతి
"
319,"ఉమాదేవి
"
320,"కేశవరావు
"
321,"కుటుంబరావు
"
322,"ఇందుమతి
"
323,"ఉమాభారతి
"
324,"చక్రవర్తి
"
325,"ఉమాదేవి
"
326,"దేవి
"
327,"ఆత్రేయ
"
328,"దాక్షాయిని
"
329,"కేశవరావు
"
330,"ఇందిర
"
331,"కృష్ణప్రసాద్
"
332,"అశోక
"
333,"కోటేశ్వరరావు
"
334,"శ్రీనివాస్
"
335,"ఉమాకాంత్
"
336,"ఉమామహేశ్వరరావు
"
337,"గిరిధర్
"
338,"ఉషోదయం
"
339,"ఇందుమతి
"
340,"దాక్షాయిని
"
341,"కామాక్షి
"
342,"ఉమాకాంత్
"
343,"దివ్యభాను
"
344,"దైవసుందరం
"
345,"ఇందు
"
346,"కేశవరావు
"
347,"ఈశ్వర్
"
348,"తాతారావు
"
349,"కేశవరావు
"
350,"దైవసహాయం
"
351,"అజై
"
352,"ఈశ్వర్
"
353,"చూష్మ
"
354,"దుర్గ
"
355,"దాక్షాయిని
"
356,"కేశవరావు
"
357,"కుమారి
"
358,"దుర్గాప్రసాద్
"
359,"దేవీప్రసాద్
"
360,"శ్రీదేవి
"
361,"తిరుపతి
"
362,"ధనంజయ్
"
363,"దమయంతి
"
364,"గాంధారి
"
365,"తిరుపతి
"
366,"కామాక్షి
"
367,"జానకి
"
368,"దుర్గాదేవి
"
369,"కిష్టయ్య
"
370,"కృష్ణవేణి
"
371,"ఉమాకాంత్
"
372,"శ్రీనివాసరావు
"
373,"ఇందుమతి
"
374,"అంజలి
"
375,"జయంతి
"
376,"తిరుమలరావు
"
377,"అంజన
"
378,"దేవి
"
379,"కమలనాథ్
"
380,"ధర్మరాజు
"
381,"చిత్ర
"
382,"దుర్గాభవాని
"
383,"ఉమ
"
384,"అంకమ్మరావు
"
385,"దివాకరరావు
"
386,"కోటేశ్వరరావు
"
387,"కుమారి
"
388,"దేవేందర్
"
389,"ఉమారాణి
"
390,"దివ్య
"
391,"జానకిరామ్
"
392,"ధర్మరాజు
"
393,"దాక్షాయిని
"
394,"దమయంతి
"
395,"ఉమాశంకర్
"
396,"అంజన
"
397,"ఇందుమతి
"
398,"కోటేశ్వరరావు
"
399,"అంజన
"
400,"ఉమాభారతి
"
401,"దేవయాని
"
402,"ఇందు
"
403,"కుటుంబరావు
"
404,"ఉషారాణి
"
405,"కమలాకరరావు
"
406,"ఉమాశంకర్
"
407,"దుర్గారావు
"
408,"శ్రీలక్ష్మి
"
409,"శ్రీదేవి
"
410,"ధనంజయరావు
"
411,"ఉషారాణి
"
412,"ఇందు
"
