,Person
189,"मुरली मनोहर जोशी
"
190,"वेंकटेश प्रसाद
"
191,"विश्वास दांडेकर
"
192,"ब्रायन लारा
"
193,"कालूविथर्ना
"
194,"मनोहर जोशी
"
195,"जावेद जाफ़री
"
196,"विलास सारंग
"
197,"पल्लवी कदम
"
198,"इलयाराजा
"
199,"अरूण गोडबोले
"
200,"अर्जुन सिंह
"
201,"सुधीर रसाळ
"
202,"विजय वर्धन
"
203,"प्रभाकर पेंढारकर
"
204,"रणधीर कपूर
"
205,"आर.डब्ल्यू. एंडरसन
"
206,"विजया पाटील
"
207,"शम्मी कपूर
"
208,"अभिजीत देशपांडे
"
209,"विलासराव देशमुख
"
210,"संजय जोशी
"
211,"सोनू निगम
"
212,"आइकिदो फुजीयामा
"
213,"अच्युत माने
"
214,"विजय परडकर
"
215,"कमल अभ्यंकर
"
216,"चेतन शर्मा
"
217,"शरद जोशी
"
218,"भालचंद्ग मुणगेकर
"
219,"शाहिद अफ़रीदी
"
220,"सुधीर रसाळ
"
221,"लता मंगेशकर
"
222,"के.श्रीकांत
"
223,"प्रशांत कुलकर्णी
"
224,"विलास खोले
"
225,"एन.टी. रामाराव
"
226,"आमीर सुहैल खान
"
227,"प्रतापराव पवार
"
228,"प्रभा गणोरकर
"
229,"ऐलेन डोनाल्ड
"
230,"जॉंन्टी रोड्स
"
231,"इमरान हाशमी
"
232,"रिचर्ड हेडली
"
233,"सुहास साळुंखे
"
234,"किशोर बेडकिहाळ
"
235,"जॉर्ज फर्नांडिज़
"
236,"राहुल द्रविड
"
237,"माया पंडीत
"
238,"यशवंत सरदेसाई
"
239,"अटल बिहारी वाजपेयी
"
240,"शुभांगी थोरात
"
241,"सुधा जोशी
"
242,"अंजली जाधव
"
243,"भा.ल.भोळे
"
244,"सोनू निगम
"
245,"सुधीर पानसे
"
246,"बंगारु लक्ष्मण
"
247,"चंद्रमोहन कुलकर्णी
"
248,"गुरुदयाल सिंह ढ़िल्लन
"
249,"शंकर दयाल शर्मा
"
250,"कविता महाजन
"
251,"वसंत पाटणकर
"
252,"कादर खान
"
253,"बॉबी देओल
"
254,"सदाशिवराव मंडलिक
"
255,"मनोज कुमार
"
256,"मार्गरेट थैचर
"
257,"ज़ुल्फ़िकार अली भुट्टो
"
258,"अश्विन कर्णिक
"
259,"मुश्ताक अहमद
"
260,"जितेन्द्र
"
261,"सुप्रिया सुळे
"
262,"माइकल जैक्सन
"
263,"शाहिद अफ़रीदी
"
264,"एलन डोनाल्ड
"
265,"गुरदास मान
"
266,"शकुंतला मुळे
"
267,"बसप्पा डनप्पा जत्ती
"
