,Person
179,"அமிர்தா.
"
180,"ராஜிவ் காந்தி.
"
181,"சமிந்த வாஸ்.
"
182,"கோலம்.
"
183,"விவியன் ரிச்சர்ட்ஸ்.
"
184,"கேரி கிர்ஸ்டன்.
"
185,"ஜான்டி ரோட்ஸ்.
"
186,"கண் விழி.
"
187,"இனியாள்.
"
188,"மார்க் பவ்ச்சர்.
"
189,"கபில்தேவ்.
"
190,"ஷேக்ஹர் கபூர்.
"
191,"சின்னக்கிளி.
"
192,"அபிசேக் பச்சன்.
"
193,"கவிதா.
"
194,"சோனு நிகம்.
"
195,"பல்விந்தர் சந்து.
"
196,"தமிழரசன்.
"
197,"தேன்மொழி.
"
198,"ஷத்ருகன் சிங்கா.
"
199,"விது விநோத் சோப்ரா.
"
200,"கலுதிதரனா.
"
201,"குமார் கௌரவ்.
"
202,"அப்துல் கரிம் தெல்கி.
"
203,"மன்னன்.
"
204,"அணிதா
"
205,"சேரன்.
"
206,"சஞ்ஜெய் தத்.
"
207,"இளமுருகு.
"
208,"அபே குருதிலா.
"
209,"மேடரிகா பிரசாத் கொய்ராலா.
"
210,"எம். எப். ஹஸ்சாய்ன்.
"
211,"எ. ஆர். ரஹ்மான்.
"
212,"தலேர் மென்ஹாடி.
"
213,"ஜக்மோகன் டால்மி.
"
214,"ஜக்மோகன் டால்மி.
"
215,"சுனில் தத்.
"
216,"சோனு நிகம்.
"
217,"ஆதி.
"
218,"டோனி பிலேர்.
"
219,"நேசன்.
"
220,"விகடகவி.
"
221,"வெண்ணிலா.
"
222,"தென்னன்.
"
223,"பன்காஜ் உதாஸ்.
"
224,"சிவராஜ் படேல்.
"
225,"ஜெவஹர்லால் நேரு.
"
226,"தமிழினி.
"
227,"அமர்.
"
228,"வளர்மதி.
"
229,"கிரன்.
"
230,"ஜியானேந்திர பீர் பிக்ரம் சிங்
"
231,"இந்தர் குமார் குஜ்ரால்.
"
232,"மொசின் கான்.
"
233,"தமிழ்ச்செல்வி.
"
234,"லால் பகதூர் சாஸ்திரி.
"
235,"செல்லகிளி.
"
236,"கருணானிதி.
"
237,"ஜான்டி ரோட்ஸ்.
"
238,"சீட்டன் சர்மா.
"
239,"மாசிலா.
"
240,"ஜார்ஜ் பெர்னான்டஸ்.
"
241,"வரஹகிரி வெங்கட்டகிரி.
"
242,"செல்வம்.
"
243,"சுமித்ரா நந்தன் பட்.
"
244,"இன்பா.
"
245,"சித்ரபதி.
"
246,"ஜாக்கி ஷ்ரோப்.
"
247,"அப்துல்லா.
"
248,"சூர்யா பஹதுர் தபா.
"
249,"பாத்திமா.
"
250,"இனியன்.
"
251,"சுமித்ரா நந்தன் பட்.
"
252,"பிரபாகரன்.
"
253,"பசப்பா தனப்பா ஜத்தி.
"
254,"தமிழ்ச்செல்வி.
"
255,"சிவகாமி.
"
256,"தேவஷீஷ் மொகந்தி.
"
257,"கோமகள்.
"
258,"மாதவி.
"
259,"சிராஜ் பகுதுலே.
"
260,"ஷோயிப் அக்தர்.
"
261,"நவ்ஜோத் சிங் சித்து.
"
262,"ஹமேஷ் ரெஷாமியா.
"
263,"கோவிந்தா.
"
264,"உலகு.
"
265,"சகிப்ஜெட் ப்பருக் அலி.
"
266,"சரன் சிங்.
"
267,"பொன்னி.
"
268,"பிரதிபா படேல்.
"
269,"மணிமொழி.
"
270,"ஆர்வலன்.
"
271,"தலேர் மென்ஹாடி.
"
272,"இளங்கோ.
"
273,"சலில் அங்கோலா.
"
274,"சவ்திரி சுஜாத் ஹுஸ்சன்.
"
275,"ஆலன் டோனால்ட்.
"
276,"லால் கிருஷ்ன அத்வானி.
"
277,"சங்கர் தயால் சர்மா.
"
278,"வாசுகி.
"
279,"சாருகான்.
"
280,"எழில்.
"
281,"இளையராஜா.
"
282,"அனில் கும்பிலே.
"
283,"ராஜேஷ் கன்னா.
"
284,"கிரிஷ் கர்நாடிக்.
"
285,"சீத்தா.
"
286,"அமுதா.
"
287,"மொசின் கான்.
"
288,"அஜீத் வாடேகர்.
"
289,"சிரஞ்சீவி.
"
290,"கிருஷ்கன்ட் அவஸ்தி.
"
291,"பம்கரி இலக்ஷ்மண்.
"
292,"சலிம் மாலிக்.
"
293,"காலிட் மசூத்.
"
294,"கயல்விழி.
"
295,"சாதத் அலி மன்டோ.
"
296,"அம்ஜாத் கான்.
"
297,"ஷாஐகான்.
"
298,"ஆய்சா
"
299,"இளையராஜா.
"
300,"ராஜேஷ் கன்னா.
"
301,"ஷம்மி கபூர்.
"
302,"முரலி மனோகர் ஜோசி.
"
303,"சூர்யா கன்ட் திருபதி நிரலா
"
304,"உதயசூரியன்.
"
305,"பொன்மனி.
"
306,"செல்லகிளி.
"
307,"சுனில் தத்.
"
308,"கதிரவன்.
"
309,"இளையராஜா.
"
310,"காதர்
"
311,"குணாலன்.
"
312,"கவிதா
"
313,"பம்கரி இலக்ஷ்மண்.
"
314,"கே. கருணாநிதி.
"
315,"ரஜினிகாந்த்.
"
316,"ரிஷி கபூர்.
"
317,"மொகிந்தர் அமர்நாத்.
"
318,"முத்தையா முரலிதரன்.
"
319,"கதிரவன்.
"
320,"திலீபன்.
"
321,"பிரபாகரன்.
"
322,"கவி, கவிஞ்சன்.
"
323,"அன்னக்கிளி.
"
324,"சித்தவநலி நிஜலிங்கப்பா.
"
325,"செல்வின்.
"
326,"கண்ணிகா.
"
327,"குர்தயால் சிங் தில்லோன்
"
328,"சந்துரு பால்.
"
329,"சர்வேஷ்வர் தயால் சாக்சேனா.
"
330,"மணிக்கொடி.
"
331,"பலிராம் பகட்.
"
332,"எ.எல். கலிச்சரன்.
"
333,"கிருஷ்கன்ட் அவஸ்தி.
"
334,"செல்வா.
"
335,"உதயணன்.
"
336,"ஜார்ஜ் டபுள்யூ புஷ்.
"
337,"பிரேம் சோப்ரா.
"
338,"வளர்மதி.
"
339,"வாசுகி.
"
340,"சொற்செல்வி.
"
341,"மணிமேகலை.
"
342,"ஆய்சா
"
343,"கொன்கன சென் சர்மா.
"
344,"நேசமணி.
"
345,"கோவிந்தா.
"
346,"சுபாஷ் சந்திர போஸ்.
"
347,"லால் பகதூர் சாஸ்திரி.
"
348,"கரிஸ்மா கபூர்.
"
349,"பிரபாகரன்.
"
350,"அடல் பிகாரி வாஜ்பாய்.
"
351,"சுமித்ரா நந்தன் பட்.
"
352,"சலிம் ஜப்பாரி.
"
353,"அமிர்தா.
"
354,"விஷ்ணு வர்தன்.
"
355,"ராஜேஷ் கன்னா.
"
356,"சுர்ஜித் சிங் பர்னாலா.
"
357,"மகிழா.
"
358,"மாதவன்.
"
359,"அலி.
"
360,"இனியாள்.
"
361,"பசப்பா தனப்பா ஜத்தி.
"
362,"ஜெவஹர்லால் நேரு.
"
363,"ஞாலம்.
"
364,"விறலி.
"
365,"அணிதா
"
366,"அமிர்தா.
"
367,"கமுதவல்லி.
"
368,"பென் கிங்ஸ்லி.
"
369,"தீங்கரும்பு.
"
370,"மலர்விழி.
"
371,"சலில் அங்கோலா.
"
372,"மலர்விழி.
"
373,"அபிநாவ் பிந்ரா.
"
374,"இந்திரா காந்தி.
"
375,"மலிகா அரோரா.
"
376,"ஜியானி ஜெய் சிங்.
"
377,"சிரிகாந்த்.
"
378,"அன்பரசி.
"
379,"சந்திரசேகர்.
"
380,"மதிவதனி.
"
381,"விவியன் ரிச்சர்ட்ஸ்.
"
382,"அருண் கோயல்.
"
383,"ஜெவஹர்லால் நேரு.
"
384,"ஆனந்தன்.
"
385,"நீலேஷ் நட்கர்னி.
"
386,"கோவிந்தா.
"
387,"பூவாத்தி.
"
388,"சிரினிவாச ராவ் கொண்டாமணி.
"
389,"சுமித்ரா நந்தன் பட்.
"
390,"பகவன்.
"
391,"கபில்தேவ்.
"
392,"ரன்வீர் கபுர்.
"
393,"அசோக் குமார் மல்கோத்ரா
"
394,"மனோஜ் குமார்.
"
395,"கே. கருணாநிதி.
"
396,"மயூரன்.
"
397,"ரிஷி கபூர்.
"
398,"பொன்மனி.
"
399,"இந்தர் குமார் குஜ்ரால்.
"
400,"ஷேக்ஹர் கபூர்.
"
401,"அலி.
"
402,"தேவஷீஷ் மொகந்தி.
"
403,"ஜாவிட் ஜப்ரி.
"
404,"வரஹகிரி வெங்கட்டகிரி.
"
405,"சுடலை மாடன்.
"
406,"இன்சொல்.
"
407,"அம்ஜாத் கான்.
"
408,"அம்ரீஸ் பூரி.
"
409,"யேசுதாசன்.
"
410,"தேவ்கவ்டா.
"
411,"சலில் அங்கோலா.
"
412,"அஜீத் அகர்கர்.
"
413,"மாதவி.
"
414,"ஷோயிப் அக்தர்.
"
415,"லால் கிருஷ்ன அத்வானி.
"
416,"தேனு ஆனந்த்.
"
417,"தலேர் மென்ஹாடி.
"
418,"நிதி.
"
419,"கலாமதி.
"
420,"வடிவேல்.
"
421,"முஷ்தாக் ஹக்மத்.
"
422,"சித்ரபதி.
"
423,"கலுதிதரனா.
"
424,"மன்சூர் அக்தர்.
"
425,"அஜய் ஜெடேஜா.
"
426,"ரஜினிகாந்த்.
"
427,"சுனில் தத்.
"
428,"பக்கருதின் அலி ஹமாத்.
"
429,"மணிமேகலை.
"
430,"அருஷி அகர்வால்.
"
431,"மணிமேகலை.
"
432,"செல்லம்.
"
433,"இந்தர் குமார் குஜ்ரால்.
"
434,"கலாபரன்.
"
435,"மருதா.
"
436,"ஆஷிஸ் ஆனந் கபூர்.
"
437,"ஜாவிட் ஜப்ரி.
"
438,"கிருஷ்கன்ட் அவஸ்தி.
"
439,"பாண்டியன்.
"
440,"ஏன்டிஃபிளவர்.
"
441,"ஸ்டீவ் வாக்.
"
442,"இன்ஜமாம்-உல்-ஹாக்.
"
443,"ரமேஷ் ராகவ்.
"
444,"அறிவு.
"
445,"மகிந்தர் சிங் .
"
446,"ஆர்வலன்.
"
447,"மன்மோகன் சிங்.
"
448,"நீதி.
"
449,"அறிவு.
"
450,"ராமசுவாமி அய்யர் வெங்கட்ராமன்.
"
451,"மகிழா.
"
452,"அஸ்வர்யாராய்.
"
453,"முகம்மது யூனுஸ்.
"
454,"துல்சிகிரி.
"
455,"அங்கயர்கரசி.
"
456,"தமிழரசன்.
"
457,"யூசப் யுஹானா.
"
458,"மொசின் கான்.
"
459,"பூவாத்தி.
"
460,"வளம்.
"
461,"பொன்மனி.
"
462,"விது விநோத் சோப்ரா.
"
463,"குமரன்.
"
464,"ஜார்ஜ் பெர்னான்டஸ்.
"
465,"சிரஞ்சீவி.
"
466,"காமாட்சி.
"
467,"கலை.
"
468,"லாலா அமர்நாத்.
"
469,"அழகி.
"
470,"அறிவு.
"
471,"அமர்த்யா.
"
472,"சவ்ரவ் கங்குலி.
"
473,"ஆடம் பரோரி.
"
474,"வடிவேல்.
"
475,"மிதுன் சக்கரவர்த்தி.
"
476,"ஸ்டீபன் ப்பிலமிங்.
"
477,"அமிழ்தினி.
"
478,"சுப்ரமணியன்.
"
479,"மதி.
"
480,"ஹரிஷ் பிமானி.
"
481,"ராஜேஷ் கன்னா.
"
482,"தீங்கரும்பு.
"
483,"அபிநாவ் பிந்ரா.
"
484,"இம்ரான் ஹாஸ்மி.
"
485,"கரிகாலன்.
"
486,"மேகலை
"
487,"ரமேஷ் ராகவ்.
"
488,"கலைமகள்.
"
489,"மொகமத் அலிஜின்னா.
"
490,"சந்திப் படேல்.
"
491,"இந்தர் குமார் குஜ்ரால்.
"
492,"ஜக்மோகன் டால்மி.
"
493,"இனிமை.
"
494,"தமிழரசன்.
"
495,"விஷ்ணு வர்தன்.
"
496,"வி.வி.எஸ். லக்ஷ்மன்.
"
497,"மன்மோகன் சிங்.
"
498,"மனோஜ் குமார்.
"
499,"அங்கயர்க்கன்னி.
"
500,"அகத்தியன்.
"
501,"ஹுல்பிகர் அலி பூட்டோ.
"
502,"கொன்கன சென் சர்மா.
"
503,"அஜய் தேவ்கன்.
"
504,"ரிஷி கபூர்.
"
505,"பிரைன் லாரா.
"
506,"மன்மோகன் சிங்.
"
507,"ஷாஹித் அப்ரிடி.
"
508,"மேகலை
"
509,"பார்வதி.
"
510,"ரிச்சார்ட் ஹாட்லி.
"
511,"மைக்கேல் ஜாக்சன்.
"
512,"சரத் பாபு.
"
513,"நரேந்திர ஹிர்வானி.
"
514,"நவ்ஜோத் சிங் சித்து.
"
515,"வடிவேல்.
"
516,"சர்தார் ஹகும் சிங்.
"
517,"பிரேம் சோப்ரா.
"
518,"ஹர்ஸ்சில்லே ஜிப்ஸ்.
"
519,"தேவ்கன்ட் பருவா.
"
520,"ஆலன் டோனால்ட்.
"
521,"வசீகரி.
"
522,"அன்பு.
"
523,"டான் பிராட்மேன்.
"
524,"நிதி.
"
525,"முருகன்.
"
526,"கங்கனா ராநாட்.
"
527,"ஷாஐகான்.
"
528,"சார்லி சாப்லின்.
"
529,"அனுபம் கேர்.
"
530,"சிராஜ் பகுதுலே.
"
531,"வைகை.
"
532,"ஹுல்பிகர் அலி பூட்டோ.
"
533,"ஆல்பிரட் எல்.எ. கோர்.
"
534,"அருங்கேடன்.
"
535,"எ.பி.ஜெ. அப்துல் கலாம்.
"
536,"பல்ரம் ஜாகர்.
"
537,"கே. சிரிகாந்த்.
"
538,"அனில் கும்பிலே.
"
539,"ஜியானேந்திர பீர் பிக்ரம் சிங்
"
540,"கிலைவ் லியோட்.
"
541,"சவ்திரி சுஜாத் ஹுஸ்சன்.
"
542,"அஜய் தேவ்கன்.
"
543,"கருணா, கருணை.
"
544,"லால் கிருஷ்ன அத்வானி.
"
545,"தையல்நாயகி.
"
546,"செயா பச்சன்.
"
547,"ஹசன் ரஜா.
"
548,"மிதுன் சக்கரவர்த்தி.
"
549,"அருள்மொழி.
"
550,"பட்டாபி சீத்தாராமய்யா.
"
551,"கலைச்செல்வன்.
"
552,"அஜய் ஜெடேஜா.
"
553,"பொன்.
"
554,"நானா பட்கர்.
"
555,"அப்துல் கோதிர் .
"
556,"தமிழ்ச்செல்வி.
"
557,"தமிழரசி.
"
558,"விவியன் ரிச்சர்ட்ஸ்.
"
559,"கலைச்செல்வன்.
"
560,"சோனியா காந்தி.
"
561,"சாதத் அலி மன்டோ.
"
562,"இளையராஜா.
"
563,"இனிமை.
"
564,"வசுதரா ராஜே சிந்தியா.
"
565,"பசப்பா தனப்பா ஜத்தி.
"
566,"குழலி.
"
567,"புருஷோத்தம் தாஷ் தான்டன்
"
568,"செழியன்.
"
569,"மொகமத் வாசிம் ஹிதயதுல்லா.
"
570,"சோனியா காந்தி.
"
571,"இரத்தினம்.
"
572,"கோலம்.
"
